,demand_site,crop,proportion,crop_type,default_expression,time_series
76,Peninsula,Cotton,0.00135168,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Cotton.xlsx, A3:B12))",0
77,Peninsula,Durum_Wheat,0.00034573,Durum,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Durum Wheat.xlsx, A3:B12))",0
78,Peninsula,Potatoes,9.28E-05,Vegetables(potatoes),"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Potatoes.xlsx, A3:B12))",0
79,Peninsula,Sorghum_grain,0.000709678,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Sorghum.xlsx, A3:B12))*0.1898",0
80,Peninsula,Sugarbeets,0.000709678,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Sugarbeets.xlsx, A3:B12))",0
81,Peninsula,Winter_Wheat,0.000709678,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Winter Wheat.xlsx, A3:B12))",0
82,Peninsula,Other_Hay,0.000709678,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Other Hay.xlsx, A3:B12))",0
83,Peninsula,Sorghum_silage,0.000709678,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_Sorghum.xlsx, A3:B12))*0.8102",0
84,Peninsula,VegFruit,0.000709678,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\peninsul_VegFruit.xlsx, A3:B12))",0
85,Queen_Creek,Alfalfa_hay,0.038820558,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Alfalfa.xlsx, A3:B12))*0.760",0
86,Queen_Creek,Alfalfa_haylage,0.012259124,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Alfalfa.xlsx, A3:B12))*0.24",0
87,Queen_Creek,Corn_silage,0.1145052,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Corn.xlsx, A3:B12))*0.9553",0
88,Queen_Creek,Corn_grain,0.00535788,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Corn.xlsx, A3:B12))*0.0447",0
89,Queen_Creek,Barley,0.090322684,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Barley.xlsx, A3:B12))",0
90,Queen_Creek,Cotton,0.102271089,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Cotton.xlsx, A3:B12))",0
91,Queen_Creek,Durum_Wheat,0.046618328,Durum,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Durum Wheat.xlsx, A3:B12))",0
92,Queen_Creek,Potatoes,0.318852853,Vegetables(potatoes),"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Potatoes.xlsx, A3:B12))",0
93,Queen_Creek,Sorghum_grain,0.001824824,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Sorghum.xlsx, A3:B12))*0.1898",0
94,Queen_Creek,Sugarbeets,0.001824824,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Sugarbeets.xlsx, A3:B12))",0
95,Queen_Creek,Winter_Wheat,0.001824824,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Winter Wheat.xlsx, A3:B12))",0
96,Queen_Creek,Other_Hay,0.001824824,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Other Hay.xlsx, A3:B12))",0
