,branch,variable-name,type
210,Resources\Primary\Coal Unspecified,Resource Imports,input
211,Resources\Primary\Coal Unspecified,Resource Exports,input
212,Resources\Primary\Coal Unspecified,Unmet Requirements,input
213,Resources\Primary\Coal Unspecified,Additions to Reserves,input
214,Resources\Primary\Coal Bituminous,Resource Imports,input
215,Resources\Primary\Coal Bituminous,Resource Exports,input
216,Resources\Primary\Coal Bituminous,Unmet Requirements,input
217,Resources\Primary\Coal Bituminous,Additions to Reserves,input
218,Resources\Primary\Natural Gas,Resource Imports,input
219,Resources\Primary\Natural Gas,Resource Exports,input
220,Resources\Primary\Natural Gas,Unmet Requirements,input
221,Resources\Primary\Natural Gas,Additions to Reserves,input
222,Resources\Secondary\Electricity,Resource Imports,input
223,Resources\Secondary\Electricity,Resource Exports,input
224,Resources\Secondary\Electricity,Unmet Requirements,input
225,PHX_AMA_4_Scenarios,ScenarioIPCCAssessment,output
226,PHX_AMA_4_Scenarios,Twenty Year GWP Direct At Point of Emissions,output
227,PHX_AMA_4_Scenarios,One_Hundred Year GWP Direct At Point of Emissions,output
228,PHX_AMA_4_Scenarios,Five_Hundred Year GWP Direct At Point of Emissions,output
229,PHX_AMA_4_Scenarios,One_Hundred Year GWP Direct and Indirect Allocated to Demands,output
230,PHX_AMA_4_Scenarios,One_Hundred Year GWP Indirect Allocated to Demands,output
231,PHX_AMA_4_Scenarios,Pollutant Loadings,output
232,Demand,Energy Demand Final Units,output
233,Demand,Useful Energy Demand,output
234,Demand,Demand Coproduction,output
235,Demand,Primary Requirements: Allocated to Demands,output
236,Demand,Twenty Year GWP Direct At Point of Emissions,output
237,Demand,One_Hundred Year GWP Direct At Point of Emissions,output
238,Demand,Five_Hundred Year GWP Direct At Point of Emissions,output
239,Demand,One_Hundred Year GWP Direct and Indirect Allocated to Demands,output
240,Demand,One_Hundred Year GWP Indirect Allocated to Demands,output
241,Demand,Pollutant Loadings,output
242,Demand\Residential,Total Final Energy Consumption,output
243,Demand\Residential,Total Activity,output
244,Demand\Residential,Energy Demand Final Units,output
245,Demand\Residential,Useful Energy Demand,output
246,Demand\Residential,Demand Coproduction,output
247,Demand\Residential,Primary Requirements: Allocated to Demands,output
248,Demand\Residential,Twenty Year GWP Direct At Point of Emissions,output
249,Demand\Residential,One_Hundred Year GWP Direct At Point of Emissions,output
250,Demand\Residential,Five_Hundred Year GWP Direct At Point of Emissions,output
251,Demand\Residential,One_Hundred Year GWP Direct and Indirect Allocated to Demands,output
252,Demand\Residential,One_Hundred Year GWP Indirect Allocated to Demands,output
253,Demand\Residential,Pollutant Loadings,output
254,Demand\Residential\Residential customers,Total Final Energy Consumption,output
255,Demand\Residential\Residential customers,Total Activity,output
256,Demand\Residential\Residential customers,Energy Demand Final Units,output
257,Demand\Residential\Residential customers,Useful Energy Demand,output
258,Demand\Residential\Residential customers,Demand Coproduction,output
259,Demand\Residential\Residential customers,Primary Requirements: Allocated to Demands,output
260,Demand\Residential\Residential customers,Twenty Year GWP Direct At Point of Emissions,output
261,Demand\Residential\Residential customers,One_Hundred Year GWP Direct At Point of Emissions,output
262,Demand\Residential\Residential customers,Five_Hundred Year GWP Direct At Point of Emissions,output
263,Demand\Residential\Residential customers,One_Hundred Year GWP Direct and Indirect Allocated to Demands,output
264,Demand\Residential\Residential customers,One_Hundred Year GWP Indirect Allocated to Demands,output
265,Demand\Residential\Residential customers,Pollutant Loadings,output
266,Demand\Residential\Residential customers\Uses unrelated to water,Total Final Energy Consumption,output
267,Demand\Residential\Residential customers\Uses unrelated to water,Total Activity,output
268,Demand\Residential\Residential customers\Uses unrelated to water,Fuel Share,output
269,Demand\Residential\Residential customers\Uses unrelated to water,Energy Demand Final Units,output
270,Demand\Residential\Residential customers\Uses unrelated to water,Useful Energy Demand,output
271,Demand\Residential\Residential customers\Uses unrelated to water,Demand Coproduction,output
272,Demand\Residential\Residential customers\Uses unrelated to water,Primary Requirements: Allocated to Demands,output
273,Demand\Residential\Residential customers\Uses unrelated to water,Twenty Year GWP Direct At Point of Emissions,output
274,Demand\Residential\Residential customers\Uses unrelated to water,One_Hundred Year GWP Direct At Point of Emissions,output
275,Demand\Residential\Residential customers\Uses unrelated to water,Five_Hundred Year GWP Direct At Point of Emissions,output
276,Demand\Residential\Residential customers\Uses unrelated to water,One_Hundred Year GWP Direct and Indirect Allocated to Demands,output
277,Demand\Residential\Residential customers\Uses unrelated to water,One_Hundred Year GWP Indirect Allocated to Demands,output
278,Demand\Residential\Residential customers\Uses unrelated to water,Pollutant Loadings,output
279,Demand\Residential\Residential customers\Water heating,Total Final Energy Consumption,output
280,Demand\Residential\Residential customers\Water heating,Total Activity,output
281,Demand\Residential\Residential customers\Water heating,Fuel Share,output
282,Demand\Residential\Residential customers\Water heating,Energy Demand Final Units,output
283,Demand\Residential\Residential customers\Water heating,Useful Energy Demand,output
