,branch,variable,expression
77,Demand\Industrial\Water infrastructure\Agricultural\CAP\Pumping in irrigation districts\Pumping in irrigation districts,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Maricopa_Water_District\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to New_Magma\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Queen_Creek\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_ID\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_Water_Consertation\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Saint_Joins\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Salt_River_Valley\from CAP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Tonopah\from CAP Withdrawal:Flow[m^3]))*125*0.000810714
78,Demand\Industrial\Water infrastructure\Agricultural\SRP\Pumping in irrigation districts,Activity Level,100
79,Demand\Industrial\Water infrastructure\Agricultural\SRP\Pumping in irrigation districts,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Adaman\from SRP Withdrawal:Flow[m^3])+ WEAPValue(Supply and Resources\Transmission Links\to Arlington\from SRP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Buckeye\from SRP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Maricopa_Water_District\from SRP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to New_Magma\from SRP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Peninsula\from SRP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_ID\from SRP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_Water_Consertation\from SRP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Saint_Joins\from SRP Withdrawal:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Salt_River_Valley\from SRP Withdrawal:Flow[m^3]))*125*0.000810714
80,Demand\Industrial\Water infrastructure\Agricultural\Groundwater\Pumping,Activity Level,100
81,Demand\Industrial\Water infrastructure\Agricultural\Groundwater\Pumping,Final Energy Intensity Time Sliced,(WEAPValue(Supply and Resources\Transmission Links\to Adaman\from Groundwater:Flow[m^3])+ WEAPValue(Supply and Resources\Transmission Links\to Arlington\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Buckeye\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Maricopa_Water_District\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to New_Magma\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Peninsula\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Queen_Creek\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_ID\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Roosevelt_Water_Consertation\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Saint_Joins\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Salt_River_Valley\from Groundwater:Flow[m^3])+WEAPValue(Supply and Resources\Transmission Links\to Tonopah\from Groundwater:Flow[m^3]))*393*0.000810714
82,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Mark Wilmer,Activity Level,100
83,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Mark Wilmer,Final Energy Intensity Time Sliced,0.6129*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*1028*0.000810714
84,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Bouse Hills,Activity Level,100
85,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Bouse Hills,Final Energy Intensity Time Sliced,0.6129*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*147*0.000810714
86,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Little Harquahala,Activity Level,100
