WEAP Variables,,,
,branch,variable-name,type
164,Demand Sites and Catchments\New_Magma\Winter_Wheat,Potential Yield,input
165,Demand Sites and Catchments\New_Magma\Winter_Wheat,Irrigation Schedule,input
166,Demand Sites and Catchments\New_Magma\Winter_Wheat,Market Price,input
167,Demand Sites and Catchments\New_Magma\Winter_Wheat,Fraction Wetted,input
168,Demand Sites and Catchments\New_Magma\Winter_Wheat,Total Soil Thickness,input
169,Demand Sites and Catchments\New_Magma\Winter_Wheat,Irrigation Efficiency,input
170,Demand Sites and Catchments\New_Magma\Winter_Wheat,Loss to Groundwater,input
171,Demand Sites and Catchments\New_Magma\Winter_Wheat,Soil Water Capacity,input
172,Demand Sites and Catchments\New_Magma\Winter_Wheat,Loss to Runoff,input
173,Demand Sites and Catchments\New_Magma\Winter_Wheat,Minimum Depth,input
174,Demand Sites and Catchments\New_Magma\Winter_Wheat,Target Depth,input
175,Demand Sites and Catchments\New_Magma\Winter_Wheat,Maximum Infiltration Rate,input
176,Demand Sites and Catchments\New_Magma\Winter_Wheat,Release Requirement,input
177,Demand Sites and Catchments\New_Magma\Winter_Wheat,Maximum Percolation Rate,input
178,Demand Sites and Catchments\New_Magma\Winter_Wheat,Effective Precipitation,input
179,Demand Sites and Catchments\New_Magma\Winter_Wheat,Fraction Covered,input
180,Demand Sites and Catchments\New_Magma\Winter_Wheat,Direct Recharge to GW,input
181,Demand Sites and Catchments\New_Magma\Other_Hay,Area,input
182,Demand Sites and Catchments\New_Magma\Other_Hay,Potential Yield,input
183,Demand Sites and Catchments\New_Magma\Other_Hay,Irrigation Schedule,input
184,Demand Sites and Catchments\New_Magma\Other_Hay,Market Price,input
185,Demand Sites and Catchments\New_Magma\Other_Hay,Fraction Wetted,input
186,Demand Sites and Catchments\New_Magma\Other_Hay,Total Soil Thickness,input
187,Demand Sites and Catchments\New_Magma\Other_Hay,Irrigation Efficiency,input
188,Demand Sites and Catchments\New_Magma\Other_Hay,Loss to Groundwater,input
189,Demand Sites and Catchments\New_Magma\Other_Hay,Soil Water Capacity,input
190,Demand Sites and Catchments\New_Magma\Other_Hay,Loss to Runoff,input
191,Demand Sites and Catchments\New_Magma\Other_Hay,Minimum Depth,input
192,Demand Sites and Catchments\New_Magma\Other_Hay,Target Depth,input
193,Demand Sites and Catchments\New_Magma\Other_Hay,Maximum Infiltration Rate,input
194,Demand Sites and Catchments\New_Magma\Other_Hay,Release Requirement,input
195,Demand Sites and Catchments\New_Magma\Other_Hay,Maximum Percolation Rate,input
196,Demand Sites and Catchments\New_Magma\Other_Hay,Effective Precipitation,input
197,Demand Sites and Catchments\New_Magma\Other_Hay,Fraction Covered,input
198,Demand Sites and Catchments\New_Magma\Other_Hay,Direct Recharge to GW,input
199,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Area,input
200,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Potential Yield,input
201,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Irrigation Schedule,input
202,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Market Price,input
203,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Fraction Wetted,input
204,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Total Soil Thickness,input
205,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Irrigation Efficiency,input
206,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Loss to Groundwater,input
207,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Soil Water Capacity,input
208,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Loss to Runoff,input
209,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Minimum Depth,input
210,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Target Depth,input
211,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Maximum Infiltration Rate,input
212,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Release Requirement,input
213,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Maximum Percolation Rate,input
214,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Effective Precipitation,input
215,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Fraction Covered,input
216,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Direct Recharge to GW,input
217,Demand Sites and Catchments\New_Magma\Sorghum_silage,Area,input
218,Demand Sites and Catchments\New_Magma\Sorghum_silage,Potential Yield,input
219,Demand Sites and Catchments\New_Magma\Sorghum_silage,Irrigation Schedule,input
220,Demand Sites and Catchments\New_Magma\Sorghum_silage,Market Price,input
221,Demand Sites and Catchments\New_Magma\Sorghum_silage,Fraction Wetted,input
222,Demand Sites and Catchments\New_Magma\Sorghum_silage,Total Soil Thickness,input
223,Demand Sites and Catchments\New_Magma\Sorghum_silage,Irrigation Efficiency,input
224,Demand Sites and Catchments\New_Magma\Sorghum_silage,Loss to Groundwater,input
225,Demand Sites and Catchments\New_Magma\Sorghum_silage,Soil Water Capacity,input
226,Demand Sites and Catchments\New_Magma\Sorghum_silage,Loss to Runoff,input
227,Demand Sites and Catchments\New_Magma\Sorghum_silage,Minimum Depth,input
228,Demand Sites and Catchments\New_Magma\Sorghum_silage,Target Depth,input
229,Demand Sites and Catchments\New_Magma\Sorghum_silage,Maximum Infiltration Rate,input
230,Demand Sites and Catchments\New_Magma\Sorghum_silage,Release Requirement,input
231,Demand Sites and Catchments\New_Magma\Sorghum_silage,Maximum Percolation Rate,input
232,Demand Sites and Catchments\New_Magma\Sorghum_silage,Effective Precipitation,input
233,Demand Sites and Catchments\New_Magma\Sorghum_silage,Fraction Covered,input
234,Demand Sites and Catchments\New_Magma\Sorghum_silage,Direct Recharge to GW,input
235,Demand Sites and Catchments\New_Magma\Corn_silage,Area,input
236,Demand Sites and Catchments\New_Magma\Corn_silage,Potential Yield,input
237,Demand Sites and Catchments\New_Magma\Corn_silage,Irrigation Schedule,input
238,Demand Sites and Catchments\New_Magma\Corn_silage,Market Price,input
239,Demand Sites and Catchments\New_Magma\Corn_silage,Fraction Wetted,input
240,Demand Sites and Catchments\New_Magma\Corn_silage,Total Soil Thickness,input
241,Demand Sites and Catchments\New_Magma\Corn_silage,Irrigation Efficiency,input
242,Demand Sites and Catchments\New_Magma\Corn_silage,Loss to Groundwater,input
243,Demand Sites and Catchments\New_Magma\Corn_silage,Soil Water Capacity,input
244,Demand Sites and Catchments\New_Magma\Corn_silage,Loss to Runoff,input
245,Demand Sites and Catchments\New_Magma\Corn_silage,Minimum Depth,input
246,Demand Sites and Catchments\New_Magma\Corn_silage,Target Depth,input
247,Demand Sites and Catchments\New_Magma\Corn_silage,Maximum Infiltration Rate,input
248,Demand Sites and Catchments\New_Magma\Corn_silage,Release Requirement,input
249,Demand Sites and Catchments\New_Magma\Corn_silage,Maximum Percolation Rate,input
250,Demand Sites and Catchments\New_Magma\Corn_silage,Effective Precipitation,input
251,Demand Sites and Catchments\New_Magma\Corn_silage,Fraction Covered,input
252,Demand Sites and Catchments\New_Magma\Corn_silage,Direct Recharge to GW,input
253,Demand Sites and Catchments\New_Magma\Pima_Cotton,Area,input
254,Demand Sites and Catchments\New_Magma\Pima_Cotton,Potential Yield,input
255,Demand Sites and Catchments\New_Magma\Pima_Cotton,Irrigation Schedule,input
256,Demand Sites and Catchments\New_Magma\Pima_Cotton,Market Price,input
257,Demand Sites and Catchments\New_Magma\Pima_Cotton,Fraction Wetted,input
258,Demand Sites and Catchments\New_Magma\Pima_Cotton,Total Soil Thickness,input
259,Demand Sites and Catchments\New_Magma\Pima_Cotton,Irrigation Efficiency,input
260,Demand Sites and Catchments\New_Magma\Pima_Cotton,Loss to Groundwater,input
261,Demand Sites and Catchments\New_Magma\Pima_Cotton,Soil Water Capacity,input
262,Demand Sites and Catchments\New_Magma\Pima_Cotton,Loss to Runoff,input
263,Demand Sites and Catchments\New_Magma\Pima_Cotton,Minimum Depth,input
264,Demand Sites and Catchments\New_Magma\Pima_Cotton,Target Depth,input
265,Demand Sites and Catchments\New_Magma\Pima_Cotton,Maximum Infiltration Rate,input
266,Demand Sites and Catchments\New_Magma\Pima_Cotton,Release Requirement,input
267,Demand Sites and Catchments\New_Magma\Pima_Cotton,Maximum Percolation Rate,input
268,Demand Sites and Catchments\New_Magma\Pima_Cotton,Effective Precipitation,input
269,Demand Sites and Catchments\New_Magma\Pima_Cotton,Fraction Covered,input
270,Demand Sites and Catchments\New_Magma\Pima_Cotton,Direct Recharge to GW,input
271,Demand Sites and Catchments\New_Magma\VegFruit,Area,input
272,Demand Sites and Catchments\New_Magma\VegFruit,Potential Yield,input
273,Demand Sites and Catchments\New_Magma\VegFruit,Irrigation Schedule,input
274,Demand Sites and Catchments\New_Magma\VegFruit,Market Price,input
275,Demand Sites and Catchments\New_Magma\VegFruit,Fraction Wetted,input
276,Demand Sites and Catchments\New_Magma\VegFruit,Total Soil Thickness,input
277,Demand Sites and Catchments\New_Magma\VegFruit,Irrigation Efficiency,input
278,Demand Sites and Catchments\New_Magma\VegFruit,Loss to Groundwater,input
279,Demand Sites and Catchments\New_Magma\VegFruit,Soil Water Capacity,input
280,Demand Sites and Catchments\New_Magma\VegFruit,Loss to Runoff,input
281,Demand Sites and Catchments\New_Magma\VegFruit,Minimum Depth,input
282,Demand Sites and Catchments\New_Magma\VegFruit,Target Depth,input
283,Demand Sites and Catchments\New_Magma\VegFruit,Maximum Infiltration Rate,input
284,Demand Sites and Catchments\New_Magma\VegFruit,Release Requirement,input
285,Demand Sites and Catchments\New_Magma\VegFruit,Maximum Percolation Rate,input
286,Demand Sites and Catchments\New_Magma\VegFruit,Effective Precipitation,input
287,Demand Sites and Catchments\New_Magma\VegFruit,Fraction Covered,input
288,Demand Sites and Catchments\New_Magma\VegFruit,Direct Recharge to GW,input
289,Demand Sites and Catchments\Arlington,Demand Priority,input
290,Demand Sites and Catchments\Arlington,Area,input
291,Demand Sites and Catchments\Arlington,Precipitation,input
292,Demand Sites and Catchments\Arlington,Min Temperature,input
293,Demand Sites and Catchments\Arlington,Max Temperature,input
294,Demand Sites and Catchments\Arlington,Min Humidity,input
295,Demand Sites and Catchments\Arlington,Max Humidity,input
296,Demand Sites and Catchments\Arlington,Average Humidity,input
297,Demand Sites and Catchments\Arlington,Irrigation Use of Runoff,input
298,Demand Sites and Catchments\Arlington,Wind,input
299,Demand Sites and Catchments\Arlington,Solar Radiation,input
300,Demand Sites and Catchments\Arlington,Sunshine Hours,input
301,Demand Sites and Catchments\Arlington,Cloudiness Fraction,input
302,Demand Sites and Catchments\Arlington,Krs,input
303,Demand Sites and Catchments\Arlington,Capital Costs,input
304,Demand Sites and Catchments\Arlington,Fixed Operating Costs,input
305,Demand Sites and Catchments\Arlington,Variable Operating Costs,input
306,Demand Sites and Catchments\Arlington,Fixed Benefits,input
307,Demand Sites and Catchments\Arlington,Variable Benefits,input
308,Demand Sites and Catchments\Arlington\Alfalfa_hay,Area,input
309,Demand Sites and Catchments\Arlington\Alfalfa_hay,Potential Yield,input
310,Demand Sites and Catchments\Arlington\Alfalfa_hay,Irrigation Schedule,input
311,Demand Sites and Catchments\Arlington\Alfalfa_hay,Market Price,input
312,Demand Sites and Catchments\Arlington\Alfalfa_hay,Fraction Wetted,input
313,Demand Sites and Catchments\Arlington\Alfalfa_hay,Total Soil Thickness,input
314,Demand Sites and Catchments\Arlington\Alfalfa_hay,Irrigation Efficiency,input
315,Demand Sites and Catchments\Arlington\Alfalfa_hay,Loss to Groundwater,input
316,Demand Sites and Catchments\Arlington\Alfalfa_hay,Soil Water Capacity,input
317,Demand Sites and Catchments\Arlington\Alfalfa_hay,Loss to Runoff,input
318,Demand Sites and Catchments\Arlington\Alfalfa_hay,Minimum Depth,input
319,Demand Sites and Catchments\Arlington\Alfalfa_hay,Target Depth,input
320,Demand Sites and Catchments\Arlington\Alfalfa_hay,Maximum Infiltration Rate,input
321,Demand Sites and Catchments\Arlington\Alfalfa_hay,Release Requirement,input
322,Demand Sites and Catchments\Arlington\Alfalfa_hay,Maximum Percolation Rate,input
323,Demand Sites and Catchments\Arlington\Alfalfa_hay,Effective Precipitation,input
324,Demand Sites and Catchments\Arlington\Alfalfa_hay,Fraction Covered,input
325,Demand Sites and Catchments\Arlington\Alfalfa_hay,Direct Recharge to GW,input
326,Demand Sites and Catchments\Arlington\Corn_grain,Area,input
327,Demand Sites and Catchments\Arlington\Corn_grain,Potential Yield,input
328,Demand Sites and Catchments\Arlington\Corn_grain,Irrigation Schedule,input
329,Demand Sites and Catchments\Arlington\Corn_grain,Market Price,input
330,Demand Sites and Catchments\Arlington\Corn_grain,Fraction Wetted,input
331,Demand Sites and Catchments\Arlington\Corn_grain,Total Soil Thickness,input
332,Demand Sites and Catchments\Arlington\Corn_grain,Irrigation Efficiency,input
333,Demand Sites and Catchments\Arlington\Corn_grain,Loss to Groundwater,input
334,Demand Sites and Catchments\Arlington\Corn_grain,Soil Water Capacity,input
335,Demand Sites and Catchments\Arlington\Corn_grain,Loss to Runoff,input
336,Demand Sites and Catchments\Arlington\Corn_grain,Minimum Depth,input
337,Demand Sites and Catchments\Arlington\Corn_grain,Target Depth,input
338,Demand Sites and Catchments\Arlington\Corn_grain,Maximum Infiltration Rate,input
339,Demand Sites and Catchments\Arlington\Corn_grain,Release Requirement,input
340,Demand Sites and Catchments\Arlington\Corn_grain,Maximum Percolation Rate,input
341,Demand Sites and Catchments\Arlington\Corn_grain,Effective Precipitation,input
342,Demand Sites and Catchments\Arlington\Corn_grain,Fraction Covered,input
343,Demand Sites and Catchments\Arlington\Corn_grain,Direct Recharge to GW,input
344,Demand Sites and Catchments\Arlington\Durum_Wheat,Area,input
345,Demand Sites and Catchments\Arlington\Durum_Wheat,Potential Yield,input
346,Demand Sites and Catchments\Arlington\Durum_Wheat,Irrigation Schedule,input
347,Demand Sites and Catchments\Arlington\Durum_Wheat,Market Price,input
348,Demand Sites and Catchments\Arlington\Durum_Wheat,Fraction Wetted,input
349,Demand Sites and Catchments\Arlington\Durum_Wheat,Total Soil Thickness,input
350,Demand Sites and Catchments\Arlington\Durum_Wheat,Irrigation Efficiency,input
351,Demand Sites and Catchments\Arlington\Durum_Wheat,Loss to Groundwater,input
352,Demand Sites and Catchments\Arlington\Durum_Wheat,Soil Water Capacity,input
353,Demand Sites and Catchments\Arlington\Durum_Wheat,Loss to Runoff,input
354,Demand Sites and Catchments\Arlington\Durum_Wheat,Minimum Depth,input
355,Demand Sites and Catchments\Arlington\Durum_Wheat,Target Depth,input
356,Demand Sites and Catchments\Arlington\Durum_Wheat,Maximum Infiltration Rate,input
357,Demand Sites and Catchments\Arlington\Durum_Wheat,Release Requirement,input
358,Demand Sites and Catchments\Arlington\Durum_Wheat,Maximum Percolation Rate,input
359,Demand Sites and Catchments\Arlington\Durum_Wheat,Effective Precipitation,input
360,Demand Sites and Catchments\Arlington\Durum_Wheat,Fraction Covered,input
361,Demand Sites and Catchments\Arlington\Durum_Wheat,Direct Recharge to GW,input
362,Demand Sites and Catchments\Arlington\Sorghum_grain,Area,input
363,Demand Sites and Catchments\Arlington\Sorghum_grain,Potential Yield,input
364,Demand Sites and Catchments\Arlington\Sorghum_grain,Irrigation Schedule,input
365,Demand Sites and Catchments\Arlington\Sorghum_grain,Market Price,input
366,Demand Sites and Catchments\Arlington\Sorghum_grain,Fraction Wetted,input
367,Demand Sites and Catchments\Arlington\Sorghum_grain,Total Soil Thickness,input
